time,open,high,low,close,volume
2020-10-01 04:30,253.22,253.22,253.02,253.02,414
2020-10-01 04:35,253.06,253.06,253.06,253.06,220
2020-10-01 04:45,253.5,253.5,253.5,253.5,180
2020-10-01 04:50,253.17,253.17,253.17,253.17,258
2020-10-01 04:53,253.21,253.21,253.21,253.21,170
2020-10-01 04:55,253.5,253.5,253.47,253.5,694
2020-10-01 05:00,253.2868,253.9506,253,253.12,3655
2020-10-01 05:01,253.69,253.69,253.69,253.69,151
2020-10-01 05:04,253.7,253.7,253.7,253.7,355
2020-10-01 05:19,253.74,253.74,253.74,253.74,251
2020-10-01 05:20,253.2,253.2,253.2,253.2,424
2020-10-01 05:24,253.6,253.6,253.6,253.6,289
2020-10-01 05:25,253.6,253.6,253.6,253.6,316
2020-10-01 05:34,253.72,253.72,253.72,253.72,140
2020-10-01 05:35,253.69,253.69,253.69,253.69,520
2020-10-01 05:36,253.25,253.25,253.25,253.25,103
2020-10-01 05:37,253.69,253.72,253.69,253.72,610
2020-10-01 05:38,253.5,253.5,253.5,253.5,205
2020-10-01 05:39,253.69,253.69,253.69,253.69,414
2020-10-01 05:40,253.73,253.74,253.73,253.74,976
2020-10-01 05:41,253.95,254,253.95,254,600
2020-10-01 05:42,253.99,253.99,253.95,253.95,681
2020-10-01 05:43,254.46,254.46,254.46,254.46,389
2020-10-01 05:44,254.32,254.32,254.31,254.31,259
2020-10-01 05:45,254.55,254.55,254.54,254.54,440
2020-10-01 05:46,254.3237,254.55,254.3237,254.5001,1680
2020-10-01 05:47,254.57,254.57,254.31,254.4,825
2020-10-01 05:48,254.53,254.53,254.53,254.53,145
2020-10-01 05:54,253.7155,254.46,253.7155,254.46,311
2020-10-01 05:56,254,254,254,254,326
2020-10-01 06:00,254,254,254,254,457
2020-10-01 06:03,254.278,254.278,254.278,254.278,152
2020-10-01 06:05,254,254,254,254,560
2020-10-01 06:07,253.9,253.9,253.9,253.9,548
2020-10-01 06:08,253.9,253.9,253.9,253.9,381
2020-10-01 06:10,254,254.02,254,254.02,574
2020-10-01 06:12,254.02,254.02,254.02,254.02,301
2020-10-01 06:13,253.71,253.71,253.71,253.71,164
2020-10-01 06:14,253.8,253.8,253.74,253.74,715
2020-10-01 06:15,253.74,253.95,253.74,253.95,382
2020-10-01 06:17,253.76,253.76,253.76,253.76,165
2020-10-01 06:19,253.95,253.95,253.95,253.95,124
2020-10-01 06:22,253.6,253.6,253.6,253.6,132
2020-10-01 06:24,253.87,253.87,253.85,253.85,407
2020-10-01 06:27,253.51,253.51,253.51,253.51,384
2020-10-01 06:28,253.4,253.4,253.35,253.35,516
2020-10-01 06:29,253.71,253.71,253.17,253.18,1681
2020-10-01 06:30,253.18,254.67,253.16,254.21,221413
2020-10-01 06:31,254.32,254.67,253.86,254.369,35846
2020-10-01 06:32,254.32,254.35,252.51,252.59,34079
2020-10-01 06:33,252.5,253.8,252.38,252.99,43153
2020-10-01 06:34,253.11,254.15,252.6095,254,37428
2020-10-01 06:35,253.87,254.3799,253.31,254.08,17636
2020-10-01 06:36,253.96,254.429,253.65,254.32,16264
2020-10-01 06:37,254.2035,254.3094,252.6015,252.73,19759
2020-10-01 06:38,252.56,253.47,252.41,253.39,23355
2020-10-01 06:39,253.23,253.23,252.27,252.96,11258
2020-10-01 06:40,252.77,252.88,251.78,252,20884
2020-10-01 06:41,252.14,253.2431,252.14,252.985,12731
2020-10-01 06:42,252.98,253.5,252.8627,253.0876,16971
2020-10-01 06:43,252.93,252.93,252.08,252.15,10993
2020-10-01 06:44,252.11,252.57,252.02,252.46,10618
2020-10-01 06:45,252.52,253.02,252.4,252.528,16152
2020-10-01 06:46,252.45,252.52,251.76,251.81,16838
2020-10-01 06:47,251.76,252.22,251.61,251.98,13329
2020-10-01 06:48,251.98,252.53,251.98,252.255,13209
2020-10-01 06:49,252.54,252.63,252.12,252.63,8296
2020-10-01 06:50,252.75,253.16,252.6,253.05,24669
2020-10-01 06:51,253.04,253.58,253.04,253.58,12996
2020-10-01 06:52,253.46,253.57,253.09,253.09,11579
2020-10-01 06:53,253.01,253.01,252.366,252.43,14432
2020-10-01 06:54,252.5582,252.5582,252.26,252.3,8399
2020-10-01 06:55,252.31,252.99,252.16,252.87,9517
2020-10-01 06:56,252.85,253.2006,252.7636,252.81,9528
2020-10-01 06:57,252.71,253.2,252.62,253.2,9153
2020-10-01 06:58,253.21,253.47,253.1,253.33,15620
2020-10-01 06:59,253.28,253.57,253.1,253.19,12160
2020-10-01 07:00,253.08,253.18,252.19,252.29,20051
2020-10-01 07:01,252.47,252.47,251.87,252.0943,13953
2020-10-01 07:02,252.145,252.76,252.145,252.65,11187
2020-10-01 07:03,252.645,253.24,252.645,253.21,10702
2020-10-01 07:04,253.12,253.12,252.665,252.75,9955
