time,open,high,low,close,volume
2020-10-01 06:30,223.5,223.5,222.73,223.09,29046
2020-10-01 06:31,223.08,223.78,223.08,223.45,1990
2020-10-01 06:32,223.63,223.63,222.77,223.01,4081
2020-10-01 06:33,223.195,223.5,223.03,223.22,4589
2020-10-01 06:34,223.21,223.55,222.89,222.89,5687
2020-10-01 06:35,223.165,223.165,222.92,222.98,1826
2020-10-01 06:36,222.78,223.0225,222.75,222.96,3539
2020-10-01 06:37,223.06,223.23,222.99,223.0325,6572
2020-10-01 06:38,223,223.33,222.78,222.915,14425
2020-10-01 06:39,222.925,223.28,222.925,222.9642,4623
2020-10-01 06:40,223.0144,223.19,223,223.19,2304
2020-10-01 06:41,223.01,223.2,222.65,222.82,4681
2020-10-01 06:42,223,223.2,223,223.2,990
2020-10-01 06:43,223,223.01,222.62,222.62,3034
2020-10-01 06:44,222.56,222.56,222,222,5381
2020-10-01 06:45,221.98,222.21,221.905,222.21,2514
2020-10-01 06:46,222.14,222.14,221.89,221.9848,4381
2020-10-01 06:47,221.85,221.85,221.8,221.85,1695
2020-10-01 06:48,222.02,222.7894,221.97,222.72,4995
2020-10-01 06:50,222.61,222.83,222.5228,222.75,2953
2020-10-01 06:51,222.94,222.94,222.62,222.62,1655
2020-10-01 06:52,222.54,222.72,222.235,222.3557,2958
2020-10-01 06:53,222.17,222.26,222.15,222.15,986
2020-10-01 06:54,222.41,222.41,222.03,222.05,1283
2020-10-01 06:55,221.97,222.0913,221.935,221.935,1923
2020-10-01 06:56,222.24,222.375,222.1522,222.375,2760
2020-10-01 06:57,222.215,222.215,222.04,222.04,548
2020-10-01 06:58,221.73,221.73,221.43,221.43,3012
2020-10-01 06:59,221.42,221.42,221.01,221.15,7437
2020-10-01 07:00,221.02,221.105,220.7,220.7,6836
2020-10-01 07:01,220.7814,221,220.7814,220.95,982
2020-10-01 07:02,221.11,221.32,220.98,221.09,5935
2020-10-01 07:03,221.05,221.2,220.935,221.2,2788
2020-10-01 07:04,221.2,221.2,220.82,220.84,1322
2020-10-01 07:05,220.72,221.02,220.59,221.02,4247
2020-10-01 07:06,220.82,220.87,220.6,220.68,4925
2020-10-01 07:07,220.73,221.1677,220.73,221.1677,3837
2020-10-01 07:08,221.17,221.405,221.07,221.405,3086
2020-10-01 07:09,221.305,221.305,221.03,221.23,3181
2020-10-01 07:10,221.22,221.39,221.22,221.39,2984
2020-10-01 07:11,221.335,221.49,220.8601,221.05,3727
2020-10-01 07:12,221.04,221.24,221,221.13,2434
2020-10-01 07:13,221.095,221.105,220.97,221.03,2211
2020-10-01 07:14,221.2275,221.49,221.14,221.45,1912
2020-10-01 07:15,221.43,221.49,221.1,221.1,2395
2020-10-01 07:16,221.07,221.07,220.89,220.98,1101
2020-10-01 07:17,221.09,221.37,221.03,221.37,2624
2020-10-01 07:18,221.44,221.48,221.3,221.32,1622
2020-10-01 07:19,221.21,221.2738,221.1,221.24,2010
2020-10-01 07:20,221.3,221.425,221.3,221.425,1555
2020-10-01 07:21,221.38,221.6,221.38,221.525,2501
2020-10-01 07:22,221.6,221.79,221.575,221.79,1311
2020-10-01 07:23,221.795,221.87,221.41,221.51,3301
2020-10-01 07:24,221.43,221.46,221.29,221.29,1990
2020-10-01 07:25,220.76,220.8,220.61,220.61,994
2020-10-01 07:26,220.88,220.89,220.765,220.8496,3372
2020-10-01 07:27,220.9,220.9,220.81,220.81,945
2020-10-01 07:28,220.92,220.99,220.79,220.79,965
2020-10-01 07:29,220.875,221.04,220.875,221.04,3192
2020-10-01 07:30,221.03,221.11,220.9,221.1,3494
2020-10-01 07:31,221.27,221.595,221.27,221.595,1724
2020-10-01 07:32,221.52,221.53,221.51,221.53,1034
2020-10-01 07:33,221.7178,221.7178,221.55,221.55,10905
2020-10-01 07:34,221.64,221.73,221.53,221.565,4022
2020-10-01 07:35,221.45,221.53,221.36,221.36,2594
2020-10-01 07:36,221.5399,221.55,221.39,221.4501,3025
2020-10-01 07:37,221.62,221.65,221.48,221.48,2748
2020-10-01 07:38,221.55,221.68,221.545,221.68,3158
2020-10-01 07:39,221.885,222,221.79,221.98,4122
2020-10-01 07:40,221.9,221.95,221.65,221.95,8407
2020-10-01 07:41,221.93,222.13,221.91,222.13,2861
2020-10-01 07:42,222.165,222.165,221.96,222.06,6606
2020-10-01 07:43,222.08,222.12,221.89,222.07,4982
2020-10-01 07:44,222.17,222.22,222.08,222.115,4299
2020-10-01 07:45,222.06,222.06,221.91,222.06,2651
2020-10-01 07:46,221.94,222.02,221.85,221.85,2588
2020-10-01 07:47,221.65,221.74,221.3817,221.3817,2555
2020-10-01 07:48,221.46,221.46,221.28,221.29,2675
2020-10-01 07:49,221.37,221.65,221.37,221.6,11356
2020-10-01 07:50,221.6,221.6,221.265,221.265,1193
2020-10-01 07:51,221.33,221.465,221.33,221.465,1983
2020-10-01 07:52,221.46,221.53,221.44,221.46,1973
2020-10-01 07:53,221.38,221.7,221.37,221.58,4468
2020-10-01 07:54,221.59,221.63,221.455,221.63,3247
2020-10-01 07:55,221.6,221.6,221.425,221.48,2358
2020-10-01 07:56,221.35,221.35,221.24,221.3,1582
2020-10-01 07:57,221.3,221.31,221.15,221.17,3331
2020-10-01 07:58,221.23,221.335,221.23,221.31,2729
2020-10-01 07:59,221.3,221.4,221.16,221.365,4443
2020-10-01 08:00,221.66,221.66,221.25,221.28,3129
2020-10-01 08:01,221.1297,221.37,221.1297,221.32,2416
2020-10-01 08:02,221.25,221.7,221.25,221.665,5724
