time,open,high,low,close,volume
2020-11-02 06:30,48.875,48.875,48.76,48.83,8451
2020-11-02 06:31,48.83,48.83,48.69,48.78,4288
2020-11-02 06:32,48.69,48.81,48.66,48.71,353702
2020-11-02 06:33,48.71,48.73,48.44,48.46,36731
2020-11-02 06:34,48.44,48.67,48.44,48.56,60475
2020-11-02 06:35,48.54,48.63,48.505,48.59,35565
2020-11-02 06:36,48.58,48.72,48.57,48.66,69958
2020-11-02 06:37,48.66,48.725,48.61,48.68,46465
2020-11-02 06:38,48.675,48.83,48.615,48.83,112302
2020-11-02 06:39,48.83,48.96,48.8,48.94,99323
2020-11-02 06:40,48.94,48.94,48.78,48.81,65792
2020-11-02 06:41,48.82,48.91,48.79,48.89,54738
2020-11-02 06:42,48.885,48.94,48.71,48.8,57097
2020-11-02 06:43,48.8,48.8,48.6,48.62,42839
2020-11-02 06:44,48.62,48.79,48.62,48.77,72327
2020-11-02 06:45,48.75,48.83,48.705,48.82,66229
2020-11-02 06:46,48.83,48.93,48.81,48.83,56335
2020-11-02 06:47,48.84,48.99,48.835,48.99,89048
2020-11-02 06:48,48.985,49.095,48.96,49.03,138350
2020-11-02 06:49,49.035,49.05,48.99,48.99,44425
2020-11-02 06:50,48.98,48.98,48.8512,48.88,39879
2020-11-02 06:51,48.86,48.88,48.79,48.88,26122
2020-11-02 06:52,48.87,49.05,48.865,49.05,55283
2020-11-02 06:53,49.05,49.095,49,49.09,66308
2020-11-02 06:54,49.09,49.09,49,49.09,78965
2020-11-02 06:55,49.09,49.09,48.92,48.93,77657
2020-11-02 06:56,48.93,49.04,48.93,49.04,31852
2020-11-02 06:57,49.05,49.14,49.03,49.12,110482
2020-11-02 06:58,49.12,49.24,49.1,49.18,65605
2020-11-02 06:59,49.18,49.185,49.04,49.09,52770
2020-11-02 07:00,49.1,49.395,49.095,49.37,174750
2020-11-02 07:01,49.36,49.48,49.35,49.39,134653
2020-11-02 07:02,49.37,49.39,49.2,49.25,66368
2020-11-02 07:03,49.245,49.31,49.21,49.31,26409
2020-11-02 07:04,49.31,49.45,49.31,49.45,40305
2020-11-02 07:05,49.44,49.44,49.35,49.405,45854
2020-11-02 07:06,49.4,49.47,49.39,49.41,48513
2020-11-02 07:07,49.42,49.49,49.38,49.45,97789
2020-11-02 07:08,49.45,49.465,49.37,49.4,26822
2020-11-02 07:09,49.4066,49.445,49.315,49.41,63620
2020-11-02 07:10,49.41,49.51,49.39,49.47,50605
2020-11-02 07:11,49.47,49.49,49.43,49.48,39294
2020-11-02 07:12,49.49,49.51,49.44,49.505,43965
2020-11-02 07:13,49.51,49.56,49.495,49.5,57499
2020-11-02 07:14,49.495,49.55,49.493,49.53,31649
2020-11-02 07:15,49.535,49.59,49.46,49.47,66047
2020-11-02 07:16,49.47,49.62,49.47,49.61,55347
2020-11-02 07:17,49.61,49.655,49.575,49.64,34180
2020-11-02 07:18,49.64,49.74,49.625,49.74,38108
2020-11-02 07:19,49.75,49.75,49.66,49.7124,52009
2020-11-02 07:20,49.71,49.73,49.66,49.72,80393
2020-11-02 07:21,49.73,49.77,49.7,49.745,78263
2020-11-02 07:22,49.75,49.79,49.73,49.735,23560
2020-11-02 07:23,49.7319,49.745,49.66,49.665,31044
2020-11-02 07:24,49.67,49.69,49.62,49.6482,29260
2020-11-02 07:25,49.66,49.69,49.59,49.61,36019
2020-11-02 07:26,49.61,49.71,49.6,49.71,33799
2020-11-02 07:27,49.72,49.78,49.72,49.775,36244
2020-11-02 07:28,49.78,49.79,49.735,49.755,22830
2020-11-02 07:29,49.75,49.75,49.66,49.67,34349
2020-11-02 07:30,49.665,49.675,49.565,49.61,24837
2020-11-02 07:31,49.6063,49.6063,49.525,49.5427,33705
2020-11-02 07:32,49.545,49.58,49.51,49.57,23157
2020-11-02 07:33,49.575,49.585,49.49,49.495,26860
2020-11-02 07:34,49.5,49.535,49.485,49.52,18239
2020-11-02 07:35,49.52,49.56,49.505,49.53,16070
2020-11-02 07:36,49.535,49.535,49.495,49.51,18737
2020-11-02 07:37,49.51,49.515,49.47,49.475,20984
2020-11-02 07:38,49.48,49.5,49.43,49.44,24020
2020-11-02 07:39,49.44,49.44,49.3533,49.38,34463
2020-11-02 07:40,49.385,49.42,49.35,49.385,20053
2020-11-02 07:41,49.38,49.399,49.29,49.3,41559
2020-11-02 07:42,49.29,49.3,49.27,49.29,20195
2020-11-02 07:43,49.3,49.33,49.285,49.305,27816
2020-11-02 07:44,49.3,49.375,49.295,49.36,23189
2020-11-02 07:45,49.365,49.425,49.33,49.42,21640
2020-11-02 07:46,49.415,49.415,49.38,49.38,13720
2020-11-02 07:47,49.37,49.37,49.32,49.35,28872
2020-11-02 07:48,49.35,49.35,49.23,49.23,51513
2020-11-02 07:49,49.24,49.3,49.24,49.26,23802
