time,open,high,low,close,volume,ema15,ema50,ema100,ema200,sma300,ema_trend,touching15,touching200,entry_cross15_bull,entry_cross15_bear,entryPos1,entryPos2,entryPos1_time,valleybull,valleybear,inEntry,entrySL,entryTP,entryType,inPB,hl,entryPos2_time
2021-01-06 06:30,373.82,374.44,372.92,373.495,51696,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:31,373.1801,373.465,372.22,373.07,12131,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:32,372.915,373.41,372.575,373.01,19379,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:33,372.935,373.4427,372.78,373.205,10580,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:34,373.215,373.8274,373.215,373.57,14443,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:35,373.66,373.92,373.245,373.68,15004,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:36,373.82,374.105,373.6,373.68,18188,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:37,373.81,374.64,373.71,374.64,6674,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:38,374.3,374.38,373.8995,374.275,13177,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:39,373.94,374.145,373.31,373.31,10207,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:40,373.435,373.62,373.13,373.23,10191,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:41,373.15,373.58,373.01,373.03,6165,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:42,373.4613,373.4613,372.87,373.0,7843,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:43,372.96,373.14,372.62,372.77,7174,,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:44,372.69,372.95,372.64,372.85,4217,373.30489662640485,,,,,na,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:45,372.91,373.34,372.5,373.34,12359,373.30928454810424,,,,,na,yes,no,yes,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:46,373.44,373.76,373.3,373.3,12762,373.30812397959124,,,,,na,yes,no,unk,yes,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
2021-01-06 06:47,373.25,373.78,373.22,373.725,4300,373.36023348214235,,,,,na,yes,no,yes,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,-1.0,
