time,open,high,low,close,volume
10/7/2020 6:30,259.21,259.34,256.7908,257.9,512419
10/7/2020 6:31,257.72,259.2,257.72,259.0956,128017
10/7/2020 6:32,259.055,259.09,257.9001,258.4,116426
10/7/2020 6:33,258.39,259.65,258,259.65,118840
10/7/2020 6:34,259.7,259.71,258.8,259.0309,87435
10/7/2020 6:35,259.072,259.5,259.03,259.15,68203
10/7/2020 6:36,259.04,259.33,258.9,259.28,53869
10/7/2020 6:37,259.31,259.4799,258.71,259.1556,90187
10/7/2020 6:38,259.065,259.0699,258.21,258.38,93188
10/7/2020 6:39,258.25,258.34,257.91,257.955,90957
10/7/2020 6:40,257.95,258.58,257.95,258.58,63749
10/7/2020 6:41,258.5255,259.73,258.49,259.61,123993
10/7/2020 6:42,259.62,259.99,259.38,259.7243,102631
10/7/2020 6:43,259.745,259.87,259.36,259.43,75766
10/7/2020 6:44,259.5,260.18,259.4274,259.6899,102187
10/7/2020 6:45,259.64,259.67,258.53,258.8262,116348
10/7/2020 6:46,258.83,258.88,258.48,258.567,81668
10/7/2020 6:47,258.55,258.585,258.17,258.25,65378
10/7/2020 6:48,258.31,258.87,258.2189,258.6638,72251
10/7/2020 6:49,258.62,258.81,258.39,258.557,67373
10/7/2020 6:50,258.51,258.7726,258.36,258.6638,49991
10/7/2020 6:51,258.69,258.9382,258.65,258.8254,58324
10/7/2020 6:52,258.81,259.05,258.5,258.64,70671
10/7/2020 6:53,258.58,258.73,257.8,257.95,169504
10/7/2020 6:54,257.91,258.22,257.8,258.14,82214
10/7/2020 6:55,258.22,258.25,258,258.11,41638
10/7/2020 6:56,258.11,258.2299,257.89,257.89,46695
10/7/2020 6:57,257.91,257.99,257.27,257.28,137024
10/7/2020 6:58,257.3421,257.705,257.09,257.27,65967
10/7/2020 6:59,257.27,257.4,256.7,256.76,126701
10/7/2020 7:00,256.805,257.01,256.5,256.785,116917
10/7/2020 7:01,256.79,256.81,256.25,256.7851,122621
10/7/2020 7:02,256.77,256.95,256.68,256.699,100512
10/7/2020 7:03,256.65,256.6751,256.2,256.29,167870
10/7/2020 7:04,256.29,256.79,256.01,256.375,109257
10/7/2020 7:05,256.35,256.9199,256.25,256.8,79600
10/7/2020 7:06,256.75,256.81,256.37,256.51,69618
10/7/2020 7:07,256.45,256.56,256.21,256.42,69460
10/7/2020 7:08,256.385,256.8,256.385,256.8,91166
10/7/2020 7:09,256.81,257.34,256.75,257.31,83684
10/7/2020 7:10,257.3209,257.4141,256.52,256.52,100736
10/7/2020 7:11,256.54,256.59,256.25,256.41,75808
10/7/2020 7:12,256.47,256.52,256.3,256.38,37088
10/7/2020 7:13,256.38,256.38,255.68,255.6996,120598
10/7/2020 7:14,255.7299,255.78,255.57,255.68,85815
10/7/2020 7:15,255.69,255.75,255.431,255.545,90211
10/7/2020 7:16,255.52,256.06,255.47,255.96,114132
10/7/2020 7:17,255.9899,256.38,255.85,256.3,99772
10/7/2020 7:18,256.28,256.28,255.95,256.0799,49910
10/7/2020 7:19,256.04,256.0899,255.71,256.0899,76172
10/7/2020 7:20,256.03,256.58,255.87,256.5,102220
10/7/2020 7:21,256.51,256.83,256.51,256.68,75984
10/7/2020 7:22,256.6762,256.72,256.27,256.38,64385
10/7/2020 7:23,256.3558,256.3793,255.65,255.65,82775
10/7/2020 7:24,255.65,255.81,255.39,255.775,94471
10/7/2020 7:25,255.7501,255.8,255.44,255.495,178485
10/7/2020 7:26,255.51,255.74,255.5,255.619,47879
10/7/2020 7:27,255.615,255.7,255.36,255.36,86592
10/7/2020 7:28,255.3509,255.8533,255.35,255.78,61414
10/7/2020 7:29,255.83,256.06,255.6601,255.7917,60566
10/7/2020 7:30,255.82,256.15,255.55,256,125020
10/7/2020 7:31,256.06,256.24,255.79,256.24,100929
